Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
FS110  21W FYS:Photography:Through the Lens,L Goodson,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
FS110  22W FYS:Physics Through History&Society,M Affatigato,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  23W FYS: Reading the Human Brain,R Christensen,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
FS110  24W FYS:Science of Athletic Performance,C Libby,MWRF,11:00 AM,11:50 AM,Struve Comm Ctr,1
FS110  25W FYS:  Ancient and Modern Olympics,E Rydze,MWRF,11:00 AM,11:50 AM,Eby Fieldhouse,1
FS110  26W FYS: Visions of Heaven and Hell,G Chaplin,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
FS110  27W FYS: Water and Place,M St. Clair,MWRF,11:00 AM,11:50 AM,Stuart Hall,1
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
First Year Seminar,,,,,,
"FS110  28W FYS:The Great War in Film, Fiction,",B Keenan,MWRF,11:00 AM,11:50 AM,Hickok Hall,1
Gender Studies,,,,,,
GS107  01W Intro Gender & Sexuality Studies,K Steffens,W,6:00 PM,8:50 PM,Hickok Hall,1
GS247  01W Gender & Sexuality StudiesSymposium,K Steffens,M,6:00 PM,8:50 PM,Hickok Hall,1
History,,,,,,
HIS  115  01 History of Europe to 1500,B K`eenan,MWF,1:00 PM,1:50 PM,Hickok Hall,1
HIS  115  02 History of Europe to 1500,B Keenan,MWF,10:00 AM,10:50 AM,Hickok Hall,1
HIS  145  01 History of United States to 1865,P Husom,MWF,9:00 AM,9:50 AM,Hickok Hall,1
HIS  145  02 History of United States to 1865,P Husom,MWF,10:00 AM,10:50 AM,Hickok Hall,1
HIS  205  01W Historians Craft,D Buckaloo,TR,11:00 AM,12:20 PM,Athletics and Recrea,
HIS  216  01W History of Modern Korea (WE),D Nordmann,TR,12:30 PM,1:50 PM,Hickok Hall,1
HIS  238  01W Modern France,B Keenan,TR,2:00 PM,3:20 PM,Hickok Hall,1
HIS  268  01W Latin America,D Buckaloo,MWF,10:00 AM,10:50 AM,Hickok Hall,1
HIS  355  01W 19th Century Europe,B Keenan,MWF,2:00 PM,2:50 PM,Hickok Hall,1
HIS  444  01 Ind Study-History,B Keenan,,12:00 AM,12:00 AM,Arranged,1
HIS  444  02 Ind Study-History,D Nordmann,,12:00 AM,12:00 AM,Arranged,1
HIS  474  01 Seminar Modern European History,B Keenan,,12:00 AM,12:00 AM,Arranged,1
HIS  494  02 Internship in History,A Ziskowski,,12:00 AM,12:00 AM,Arranged,1
Interdisciplinary,,,,,,
INT  494  01 Interdisciplinary Internship,K Lanegran,,12:00 AM,12:00 AM,Arranged,1
INT  494  02 Internship,R Baranowski,,12:00 AM,12:00 AM,Arranged,1
International Studies,,,,,,
IS116  01 Intro to International Studies,J Chaimov,MWF,8:00 AM,8:50 AM,Hickok Hall,1
Japanese Studies,,,,,,
JPN  115  01 Elementary Japanese I,M Potter,MWF,1:00 PM,1:50 PM,Hickok Hall,1
Kinesiology,,,,,,
KIN  100  01 PE: Weight Training,L Atwater,MWF,8:00 AM,8:50 AM,Weight Training Roo,0.2
meets first 7 weeks,,,,,,
KIN  100  02 PE: Badminton,L Atwater,MWF,12:00 PM,12:50 PM,Eby Fieldhouse,0.2
meets first 7 weeks,,,,,,
KIN  100  05 PE: Yoga,D LeFevre,TR,12:30 PM,1:50 PM,Clark Rac Center,0.2
meets first 7 weeks,,,,,,
KIN  102  01 PE: Tennis,T Galbraith,MWF,1:00 PM,1:50 PM,Clark Rac Center,0.2
meets second 7 weeks,,,,,,
KIN  102  03 PE: Adv Weight Training,K Bakas,MWF,8:00 AM,8:50 AM,Weight Training Roo,0.2
meets second 7 weeks,,,,,,
KIN  102  04 PE: Yoga,D LeFevre,TR,12:30 PM,1:50 PM,Clark Rac Center,0.2
meet second 7 weeks,,,,,,
KIN  102  05 PE: StressReduction&Relaxation,A Parks,TR,11:00 AM,12:20 PM,Clark Rac Center,0.2
meets second 7 weeks,,,,,,
KIN  105  01 Foundations of Physical Movement,E Rydze,MWF,10:00 AM,10:50 AM,Eby Fieldhouse,1
KIN  105  02 Foundations of Physical Movement,E Rydze,MWF,2:00 PM,2:50 PM,Eby Fieldhouse,1
KIN  115  01 Fundamentals:Exercise & Nutrition,E Rydze,TR,9:30 AM,10:50 AM,Eby Fieldhouse,1
KIN  115  02 Fundamentals:Exercise & Nutrition,E Rydze,TR,2:00 PM,3:20 PM,Eby Fieldhouse,1
KIN  125  01 Public and Consumer Health,K Rice,MWF,12:00 PM,12:50 PM,Eby Fieldhouse,1
KIN  155  01 Substance Abuse,K Rice,TR,9:30 AM,10:50 AM,Eby Fieldhouse,1
KIN  155  02 Substance Abuse,L Atwater,TR,12:30 PM,1:50 PM,Eby Fieldhouse,1
KIN  175  01 Prevention & Care Ath Inj,J Chandler,MWF,10:00 AM,10:50 AM,Eby Fieldhouse,1
,J Chandler,T,9:30 AM,10:50 AM,Eby Fieldhouse,
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Kinesiology,,,,,,
KIN  201  01 Fundamentals of Coaching,P Molinari,TR,11:00 AM,12:20 PM,Eby Fieldhouse,1
KIN  215  01 Psychology of Coaching,K Rice,MWF,11:00 AM,11:50 AM,Eby Fieldhouse,1
KIN  225  01 Motor Learning,C Libby,MWF,9:00 AM,9:50 AM,Eby Fieldhouse,1
KIN  315  01 Methods Elementary Sch PE & Health,K Hynek,W,6:00 PM,9:00 PM,Eby Fieldhouse,1
KIN  385  01 Methods Strength Trng & Condition,K Diehl,TR,12:30 PM,1:50 PM,Eby Fieldhouse,1
"KIN  40  01W Org-Admin of PE, Health & Athl",L Atwater,TR,9:30 AM,10:50 AM,Athletics and Recrea,
KIN  442  01 Physiology of Exercise,J Chandler,TR,8:00 AM,9:20 AM,Eby Fieldhouse,1
"KIN  494  01 Internship in PE, Health & Rec",E Rydze,,12:00 AM,12:00 AM,Arranged,1
"KIN  494  02 Internship in PE, Health & Rec",L Atwater,,12:00 AM,12:00 AM,Arranged,1
Latin,,,,,,
LTN  115  01 Basic Latin,J Langseth,MWF,12:00 PM,12:50 PM,Hickok Hall,1
Military Studies-AROTC,,,,,,
MIL  101  01 Leadership & Pers Devel,A ROTC,M,7:00 AM,7:50 AM,Struve Comm Ctr,0.25
MIL  102  01 Intro Tactical Leadership,A ROTC,,12:00 AM,12:00 AM,Arranged,0.25
MIL  103  01 Innovative Team Leadership,A ROTC,WF,7:00 AM,7:50 AM,Struve Comm Ctr,0.5
MIL  104  01 Foundations of Tactical Leadership,A ROTC,,12:00 AM,12:00 AM,Arranged,0.5
MIL  209  01 Leadership Lab,A ROTC,R,6:00 AM,7:50 AM,Arranged,0
MIL  215  01 Adv Military Fitness Training,A ROTC,MWF,6:00 AM,6:50 AM,Clark Rac Center,0.5
MIL  220  01 Adaptive Tactical Leadership,A ROTC,,12:00 AM,12:00 AM,Arranged,0.75
MIL  305  01 Leadership in Changing Environs,A ROTC,,12:00 AM,12:00 AM,Arranged,0.75
MIL  350  01 Developing Adaptive Ldrshp,A ROTC,,12:00 AM,12:00 AM,Arranged,0.75
MIL  360  01 Leadership in Complex World,A ROTC,,12:00 AM,12:00 AM,Arranged,0.75
MIL  380  01 Readings Contmp Miitary Issues,A ROTC,,12:00 AM,12:00 AM,Arranged,0.75
Military Studies-AFROTC,,,,,,
MSA  110  01 Air Force Heritage and Values I,A ROTC,R,9:30 AM,10:20 AM,Arranged,0.25
MSA  110L 01 AFROTC Leadrshp Lab I00 FA,A ROTC,R,7:00 AM,8:50 AM,Arranged,0.25
MSA  210  01 Team and Leadership Fundamentals I,A ROTC,R,10:30 AM,11:20 AM,Arranged,0.25
MSA  210L 01 AFROTC Leadrshp Lab 200 FA,A ROTC,R,7:00 AM,8:50 AM,Arranged,0.25
MSA  310  01 Leadership Studies:Leading People &,A ROTC,TR,2:00 PM,3:15 PM,Arranged,0.75
MSA  310L 01 AFROTC Leadrshp Lab 300 FA,A ROTC,R,7:00 AM,8:50 AM,Arranged,0.25
MSA  10  01 National Security / Leadership Resp,A ROTC,MW,8:00 AM,9:15 AM,Arranged,0.75
MSA  10L 01 National Security Leadership Lab,A ROTC,TR,7:00 AM,8:50 AM,Arranged,0.25
Mathematics,,,,,,
MTH  135  01 Calculus I,J White,MTWF,10:00 AM,10:50 AM,Stuart Hall,1
MTH  135  02 Calculus I,W Herron,MTWF,12:00 PM,12:50 PM,Stuart Hall,1
MTH  135  03 Calculus I,B Miller,MTWF,2:00 PM,2:50 PM,Stuart Hall,1
MTH  145  01 Calculus II,M Stobb,MTWF,2:00 PM,2:50 PM,Stuart Hall,1
MTH  215  01W Foundations of Advanced Mathematics,B Miller,MWF,12:00 PM,12:50 PM,Stuart Hall,1
MTH  255  01 Calculus III,J White,MTWF,1:00 PM,1:50 PM,Stuart Hall,1
MTH  385  01 Modern Algebra I,W Herron,MWF,9:00 AM,9:50 AM,Stuart Hall,1
MTH  484  01W Special Topics: Math History,J White,MWF,2:00 PM,2:50 PM,Stuart Hall,1
MTH  484  02 Sp Top:Partial Differential Equat,B Miller,,12:00 AM,12:00 AM,Arranged,1
Music,,,,,,
MU109  01 Theory of Music I,A Brewer,MWF,10:00 AM,10:50 AM,Marquis Hall,1
MU109L 01 Aural Skills Lab I,A Brewer,TR,9:30 AM,10:30 AM,Marquis Hall,0.2
MU151  01 Record Label,R Benson,,12:00 AM,12:00 AM,Arranged,0.5
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Music,,,,,,
MU251  01 Record Label Seminar,R Benson,,12:00 AM,12:00 AM,Arranged,0.5
MU284  01 Topics in Music,B Wolgast,,12:00 AM,12:00 AM,Arranged,1
MU285  01 Conducting I,M Falk,TR,9:30 AM,10:50 AM,Marquis Hall,1
MU309  01 Theory of Music III,B Wolgast,MWF,9:00 AM,9:50 AM,Marquis Hall,1
MU309L 01 Aural Skills Lab III,B Wolgast,TR,8:30 AM,9:20 AM,Marquis Hall,0.2
MU421  01 Student Teaching Elementary Music,S Shanley,,12:00 AM,12:00 AM,Arranged,2
MU422  01 Student Teaching Secondary Music,S Shanley,,12:00 AM,12:00 AM,Arranged,2
MU444  01 Ind Study-Music,B Wolgast,,12:00 AM,12:00 AM,Arranged,1
MU458  01W Music History & Literature III,K Weiler,MWRF,11:00 AM,11:50 AM,Marquis Hall,1
Music - Applied,,,,,,
MUA  100  01 Concert Band,D Terrell,M,4:00 PM,6:00 PM,Sinclair Auditorium,0.3
,D Terrell,W,7:00 PM,9:00 PM,Sinclair Auditorium,
MUA  100K 01 Group Piano,J Titus,MW,2:00 PM,2:50 PM,Marquis Hall,0.3
MUA  101  01 Jazz Ensemble,S Shanley,T,7:00 PM,8:30 PM,Marquis Hall,0.2
,S Shanley,R,4:00 PM,5:30 PM,Marquis Hall,
MUA  101B 01 Trumpet,D Terrell,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  101C 01 Composition,J Reznicow,,12:00 AM,12:00 AM,Arranged,0.3
MUA  101K 01 Piano Lessons,B Wolgast,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  101P 01 Percussion,A Lawrence,,12:00 AM,12:00 AM,Arranged,0.3
MUA  101S 01 Violin,M Capistran,,12:00 AM,12:00 AM,Arranged,0.3
MUA  101V 01 Voice,J Bunge,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  101W 01 Flute,V Bishop,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  102  01 Jazz & Improvisation Lab,S Shanley,T,8:30 PM,9:20 PM,Marquis Hall,0.1
MUA  102K 01 Piano Arranging Lessons,S Shanley,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  103  01 Symphony Orchestra,S Shanley,T,3:30 PM,5:30 PM,Sinclair Auditorium,0.3
,S Shanley,R,7:00 PM,9:00 PM,Sinclair Auditorium,
MUA  103K 01 Piano: Jazz,S Shanley,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  104  01 Concert Choir,J Bunge,MWF,12:00 PM,12:50 PM,Marquis Hall,0.3
,J Bunge,R,12:30 PM,1:20 PM,Marquis Hall,
MUA  105  01 Chorale: Crimson Singers,J Bunge,,12:00 AM,12:00 AM,Arranged,0.2
MUA  110V 01 Voice Sight Singing Lessons,Staff,,12:00 AM,12:00 AM,Arranged,0.3
MUA  111  01 Coe Handbell Ensemble,M Wolgast,T,12:30 PM,1:50 PM,Arranged,0.2
MUA  111B 01 French Horn,C Harris,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  111K 01 Organ,B Wolgast,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  111S 01 Viola,J Reynolds-Altfillisch,,12:00 AM,12:00 AM,Arranged,0.3
MUA  111W 01 Oboe,L Fleer,,12:00 AM,12:00 AM,Arranged,0.3
MUA  121B 01 Trombone,J Nagel,,12:00 AM,12:00 AM,Arranged,0.3
MUA  121K 01 Harpsichord Lessons,M Wolgast,,12:00 AM,12:00 AM,Arranged,0.3
MUA  121S 01 Cello,A Phelps,,12:00 AM,12:00 AM,Arranged,0.3
MUA  121W 01 Clarinet,L Wissenberg,,12:00 AM,12:00 AM,Arranged,0.3
MUA  130V 01 Musical Theatre Practicum,Staff,,12:00 AM,12:00 AM,Arranged,0.5
MUA  131B 01 Low Brass,J Nagel,,12:00 AM,12:00 AM,Marquis Hall,0.3
MUA  131S 01 String Bass,J Hall,,12:00 AM,12:00 AM,Arranged,0.3
MUA  131V 01 Song Interpretation,L Rothrock,M,3:00 PM,4:30 PM,Marquis Hall,0.2
MUA  131W 01 Saxophone,R Morton,,12:00 AM,12:00 AM,Arranged,0.3
MUA  133B 01 Brass Ensemble & Lit,Staff,,12:00 AM,12:00 AM,Arranged,0.2
MUA  133K 01 Keyboard Ensemble & Literature,B Wolgast,,12:00 AM,12:00 AM,Arranged,0.2
MUA  133P 01 Percussion Ensemble & Literature,A Lawrence,,12:00 AM,12:00 AM,Arranged,0.2
MUA  133S 01 String Ens & Lit,A Phelps,,12:00 AM,12:00 AM,Arranged,0.2
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Music - Applied,,,,,,
MUA  133V 01 Vocal Literature,J Bunge,,12:00 AM,12:00 AM,Arranged,0.2
MUA  133W 01 Woodwind Ensemble & Literature,Staff,,12:00 AM,12:00 AM,Arranged,0.2
MUA  134B 01 Brass Pedagogy,Staff,,12:00 AM,12:00 AM,Arranged,0.2
MUA  134K 01 Keyboard Pedagogy,B Wolgast,,12:00 AM,12:00 AM,Arranged,0.2
MUA  134P 01 Percussion Pedagogy,A Lawrence,,12:00 AM,12:00 AM,Arranged,0.2
MUA  134S 01 Strings Pedagogy,A Phelps,,12:00 AM,12:00 AM,Arranged,0.2
MUA  134V 01 Vocal Pedagogy,J Bunge,,12:00 AM,12:00 AM,Arranged,1
MUA  11S 01 Harp,G Brumwell,,12:00 AM,12:00 AM,Arranged,0.3
MUA  11W 01 Bassoon,R Morton,,12:00 AM,12:00 AM,Arranged,0.3
MUA  151S 01 Guitar,J Nothnagle,,12:00 AM,12:00 AM,Arranged,0.3
MUA  163  01 Instr Tech: Double Reeds,L Fleer,TR,6:00 PM,6:50 PM,Marquis Hall,0.3
MUA  173  01 Instr Tech: High Brass,J Nagel,TR,6:00 PM,6:50 PM,Marquis Hall,0.3
MUA  202B 01 Trumpet,D Terrell,,12:00 AM,12:00 AM,Arranged,0.6
MUA  202C 01 Composition,J Reznicow,,12:00 AM,12:00 AM,Arranged,0.6
MUA  202K 01 Piano Lessons,B Wolgast,,12:00 AM,12:00 AM,Arranged,0.6
MUA  202P 01 Percussion,A Lawrence,,12:00 AM,12:00 AM,Arranged,0.6
MUA  202S 01 Violin,M Capistran,,12:00 AM,12:00 AM,Arranged,0.6
MUA  202V 01 Voice,J Bunge,,12:00 AM,12:00 AM,Arranged,0.6
MUA  202W 01 Flute,V Bishop,,12:00 AM,12:00 AM,Arranged,0.6
MUA  211  01 Group Sight-Singing Lessons,Staff,,12:00 AM,12:00 AM,Arranged,0.2
MUA  212B 01 French Horn,C Harris,,12:00 AM,12:00 AM,Arranged,0.6
MUA  212K 01 Organ,B Wolgast,,12:00 AM,12:00 AM,Arranged,0.6
MUA  212S 01 Viola,J Reynolds-Altfillisch,,12:00 AM,12:00 AM,Arranged,0.6
MUA  212W 01 Oboe,L Fleer,,12:00 AM,12:00 AM,Arranged,0.6
MUA  222B 01 Trombone,J Nagel,,12:00 AM,12:00 AM,Arranged,0.6
MUA  222K 01 Harpsichord Lessons,M Wolgast,,12:00 AM,12:00 AM,Arranged,0.6
MUA  222S 01 Cello,A Phelps,,12:00 AM,12:00 AM,Arranged,0.6
MUA  222W 01 Clarinet,L Wissenberg,,12:00 AM,12:00 AM,Arranged,0.6
MUA  232B 01 Low Brass,J Nagel,,12:00 AM,12:00 AM,Arranged,0.6
MUA  232S 01 String Bass,J Hall,,12:00 AM,12:00 AM,Arranged,0.6
MUA  232W 01 Saxophone,R Morton,,12:00 AM,12:00 AM,Arranged,0.6
MUA  242S 01 Harp,G Brumwell,,12:00 AM,12:00 AM,Arranged,0.6
MUA  242W 01 Bassoon,R Morton,,12:00 AM,12:00 AM,Arranged,0.6
MUA  252S 01 Guitar,J Nothnagle,,12:00 AM,12:00 AM,Arranged,0.6
MUA  284  01 Applied Music: Special Topics,B Wolgast,,12:00 AM,12:00 AM,Arranged,0.3
MUA  284  02 Applied Music: Special Topics,B Wolgast,,12:00 AM,12:00 AM,Arranged,0.6
MUA  300A 01 Alexander Technique,M Marrs,,12:00 AM,12:00 AM,Arranged,0.3
MUA  303B 01 Trumpet (Adv Std),D Terrell,,12:00 AM,12:00 AM,Arranged,0.6
MUA  303C 01 Composition (Advanced Standing),J Reznicow,,12:00 AM,12:00 AM,Arranged,0.6
MUA  303K 01 Piano (Adv Standing),B Wolgast,,12:00 AM,12:00 AM,Arranged,0.6
MUA  303P 01 Percussion (Adv Std),A Lawrence,,12:00 AM,12:00 AM,Arranged,0.6
MUA  303S 01 Violin (Adv Standing),M Capistran,,12:00 AM,12:00 AM,Arranged,0.6
MUA  303V 01 Voice (Adv Standing),J Bunge,,12:00 AM,12:00 AM,Arranged,0.6
MUA  303W 01 Flute (Adv Standing),V Bishop,,12:00 AM,12:00 AM,Arranged,0.6
MUA  313B 01 French Horn (Adv Std),C Harris,,12:00 AM,12:00 AM,Arranged,0.6
MUA  313K 01 Organ (Adv Standing),B Wolgast,,12:00 AM,12:00 AM,Arranged,0.6
MUA  313S 01 Viola (Adv Standing),J Reynolds-Altfillisch,,12:00 AM,12:00 AM,Arranged,0.6
MUA  313W 01 Oboe (Adv Standing),L Fleer,,12:00 AM,12:00 AM,Arranged,0.6
MUA  323B 01 Trombone (Advanced Standing),J Nagel,,12:00 AM,12:00 AM,Arranged,0.6
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Music - Applied,,,,,,
MUA  323K 01 Harpsichord Lessons(Adv Standing),M Wolgast,,12:00 AM,12:00 AM,Arranged,0.6
MUA  323S 01 Cello (Adv Standing),A Phelps,,12:00 AM,12:00 AM,Arranged,0.6
MUA  323W 01 Clarinet (Adv Std),L Wissenberg,,12:00 AM,12:00 AM,Arranged,0.6
MUA  333B 01 Low Brass (Ad Std),J Nagel,,12:00 AM,12:00 AM,Arranged,0.6
MUA  333S 01 String Bass (Advanced Standing),J Hall,,12:00 AM,12:00 AM,Arranged,0.6
MUA  333W 01 Saxophone (Adv Std),R Morton,,12:00 AM,12:00 AM,Arranged,0.6
MUA  343S 01 Harp (Adv Standing),G Brumwell,,12:00 AM,12:00 AM,Arranged,0.6
MUA  343W 01 Bassoon (Adv Std),R Morton,,12:00 AM,12:00 AM,Arranged,0.6
MUA  353S 01 Guitar (Adv Std),J Nothnagle,,12:00 AM,12:00 AM,Arranged,0.6
MUA  13  01 Orchestration,J Reznicow,,12:00 AM,12:00 AM,Arranged,0.6
MUA  490  01 Senior Recital,Staff,,12:00 AM,12:00 AM,Arranged,0
new,,,,,,
NEW  000  01 New Student Registration,J Upah,,12:00 AM,12:00 AM,Arranged,3
Nursing,,,,,,
NUR  100  01 Nursing Issues,Staff,W,3:30 PM,4:20 PM,Cherry Auditorium,0.2
NUR  200  01 Nursing Issues II,Staff,W,3:30 PM,4:20 PM,Cherry Auditorium,0.2
NUR  300  01 Art & Science of Nursing,H Bursch,WF,8:00 AM,9:20 AM,Stuart Hall,1
NUR  305  01W Information Literacy & Management,K Siems,F,12:00 PM,1:20 PM,Stuart Hall,0.5
NUR  315  01 Pathophysiology,J Mcintosh,F,9:30 AM,10:50 AM,Stuart Hall,1
,J Mcintosh,F,1:30 PM,2:50 PM,Stuart Hall,4
NUR  315  02 Patho Assessment,M Umbarger-Mackey,W,9:30 AM,10:50 AM,Stuart Hall,1
,M Umbarger-Mackey,W,1:30 PM,2:50 PM,Stuart Hall,4
NUR  315C 10 Pathophysiology Skills Clinical,V Nicola,S,9:00 AM,3:30 PM,Arranged,
NUR  315C 20 Pathophysiology Skills Clinical,K Siems,M,9:00 AM,3:30 PM,Arranged,0
NUR  315C 30 Pathophysiology Skills Clinical,L Kromminga,M,3:00 PM,9:30 PM,Arranged,0
NUR  315C 0 Pathophysiology Skills Clinical,A Kittrell,T,3:00 PM,9:30 PM,Arranged,0
NUR  315C 50 Pathophysiology Skills Clinical,A Kittrell,T,9:30 AM,3:00 PM,Arranged,0
NUR  315L 01 Pathophysiology Skills Lab,A Kittrell,R,8:00 AM,12:00 PM,Stuart Hall,0
NUR  315L 02 Pathophysiology Skills Lab,A Kittrell,R,1:00 PM,5:00 PM,Stuart Hall,0
NUR  360  01 Pharmacological Principles,K Siems,W,12:00 PM,1:20 PM,Stuart Hall,0.5
NUR  15  01 Advanced Concepts in Nursing,H Bursch,T,8:00 AM,9:20 AM,Stuart Hall,2
NUR  15C 10 Adv Appl Clinical,M Tobin,T,3:00 PM,4:20 PM,Stuart Hall,0
NUR  15C 20 Adv Appl Clinical,M Umbarger-Mackey,T,3:00 PM,4:20 PM,Stuart Hall,0
NUR  15L 01 Adv Appl Lab,A Kittrell,M,8:00 AM,12:00 PM,Stuart Hall,0
NUR  15L 02 Adv Appl Lab,A Kittrell,M,1:00 PM,5:00 PM,Stuart Hall,0
NUR  425  01 Nursing Research,A Whitters,R,9:30 AM,10:50 AM,Stuart Hall,1
NUR  430  01W Community & Population Oriented Nur,M Umbarger-Mackey,T,9:30 AM,10:50 AM,Stuart Hall,1
Occasional Course,,,,,,
OCC  111  01 Exploration for Health & Society,S Kelly,TR,9:30 AM,10:50 AM,Hickok Hall,0.5
OCC  122  01 Palcky Czechia Exchange,J Chaimov,,12:00 AM,12:00 AM,Arranged,3
OCC  220  01 Nagoya-Gakuin Exchange Japan,J Chaimov,,12:00 AM,12:00 AM,Arranged,4
OCC  225  01 Coe/Northern Ireland Scholars,S Farrell,,12:00 AM,12:00 AM,Arranged,3
OCC  235  01 Sookmyung /Coe Exchange S. Korea,J Chaimov,,12:00 AM,12:00 AM,Arranged,4
OCC  255  01 OCC Valenciennes France,J Janca-Aji,,12:00 AM,12:00 AM,Arranged,4
OCC  265  01 Turkey Exchange - Altinbas,J Chaimov,,12:00 AM,12:00 AM,Arranged,3
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Occasional Course,,,,,,
OCC  325  01 ACM Field Musuem,,,12:00 AM,12:00 AM,Arranged,4
OCC  365  01 Study & Research at Oak Ridge Lab,J Chaimov,,12:00 AM,12:00 AM,Arranged,4
Study at Another College,,,,,,
OTH  30  01 MT MERCY-AUDITING,Staff,,12:00 AM,12:00 AM,Arranged,1
OTH  01  01 U.Iowa MPH program course holder,Staff,,12:00 AM,12:00 AM,Arranged,1
OTH  02  01 U.Iowa MPH Course Holder 2,Staff,,12:00 AM,12:00 AM,Arranged,1
Philosophy,,,,,,
PHL  105  01W IntroPhil: Science Fiction & Philo,J Lemos,TR,12:30 PM,1:50 PM,Hickok Hall,1
"PHL  105  02W Intro Phil: God, Self, & Free Will",T Javoroski,TR,9:30 AM,10:50 AM,Hickok Hall,1
PHL  115  01 Logic,J Lemos,MWF,10:00 AM,10:50 AM,Hickok Hall,1
PHL  128  01W Morality & Moral Controversies,J Hoover,TR,2:00 PM,3:20 PM,Hickok Hall,1
PHL  20  01W Early Modern Philosophy,J Lemos,MWF,1:00 PM,1:50 PM,Hickok Hall,1
"PHL  245  01W Minds, Brains, and Robots",J Hoover,MWF,10:00 AM,10:50 AM,Hickok Hall,1
PHL  345  01W Philosophy of Language,J Hoover,MW,3:00 PM,4:20 PM,Hickok Hall,1
Physics,,,,,,
PHY  114  01 Modern Astronomy,J Wetzel,MW,6:00 PM,7:20 PM,Stuart Hall,1
PHY  114L 01 Modern Astronomy - Lab,J Wetzel,M,7:30 PM,9:20 PM,Peterson Hall,0
PHY  114L 02 Modern Astronomy - Lab,J Wetzel,W,7:30 PM,9:20 PM,Peterson Hall,0
PHY  165  01 Basic Physics I,U Akgun,MWF,8:00 AM,8:50 AM,Stuart Hall,1
PHY  165L 01 Basic Physics Lab,C Bragatto,T,8:00 AM,9:50 AM,Peterson Hall,0
PHY  165L 02 Basic Physics Lab,C Bragatto,T,10:00 AM,11:50 AM,Peterson Hall,0
PHY  165L 03 Basic Physics Lab,C Bragatto,T,1:00 PM,2:50 PM,Peterson Hall,0
PHY  165L 04 Basic Physics Lab,F Duru,R,8:00 AM,9:50 AM,Peterson Hall,0
PHY  165L 05 Basic Physics Lab,F Duru,R,1:00 PM,2:50 PM,Peterson Hall,0
PHY  181  01 Materials Science I,C Bragatto,MWF,1:00 PM,1:50 PM,Peterson Hall,1
PHY  185  01 General Physics I,C Bragatto,MWRF,9:00 AM,9:50 AM,Peterson Hall,1
PHY  185L 01 General Physics I Laboratory,C Bragatto,T,8:00 AM,9:50 AM,Peterson Hall,0
PHY  185L 02 General Physics I Laboratory,C Bragatto,T,10:00 AM,11:50 AM,Peterson Hall,0
PHY  185L 03 General Physics I Laboratory,C Bragatto,T,1:00 PM,2:50 PM,Peterson Hall,0
PHY  185L 04 General Physics I Laboratory,F Duru,R,8:00 AM,9:50 AM,Peterson Hall,0
PHY  185L 05 General Physics I Laboratory,F Duru,R,1:00 PM,2:50 PM,Peterson Hall,0
PHY  231  01W Mathematical Methods for Physicists,F Duru,MWF,9:00 AM,9:50 AM,Hickok Hall,1
PHY  235  01 Modern Physics,M Affatigato,MWF,2:00 PM,2:50 PM,Peterson Hall,1
PHY  235L 01W Modern Physics Lab,U Akgun,T,1:00 PM,3:50 PM,Peterson Hall,0.2
PHY  235L 02W Modern Physics Lab,U Akgun,R,1:00 PM,3:50 PM,Peterson Hall,0.2
PHY  235L 03W Modern Physics Lab Arranged,U Akgun,,12:00 AM,12:00 AM,Arranged,0
See faculty member to register with,,,,,,
add/drop,,,,,,
PHY  311  01W Renewable Energy (WE),U Akgun,TR,9:30 AM,10:50 AM,Stuart Hall,1
PHY  335  01 Quantum Mechanics,F Duru,MWF,10:00 AM,10:50 AM,Peterson Hall,1
PHY  444  01W Ind Study-Physics,S Feller,,12:00 AM,12:00 AM,Arranged,1
PHY  464  01W Jr. Sr. Seminar:Electromagnetism 2,M Affatigato,MWF,1:00 PM,1:50 PM,Peterson Hall,1
Political Science,,,,,,
POL  108  01 Introduction to Politics,L Barrow,MWF,9:00 AM,9:50 AM,Hickok Hall,1
POL  108  02 Introduction to Politics,K Lanegran,MWF,1:00 PM,1:50 PM,Hickok Hall,1
POL  115  01 American National Gov & Pol,B Nesmith,MWF,10:00 AM,10:50 AM,Hickok Hall,1
