Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
BIO  325L 01W Microbiology Lab,M Leonardo,TR,9:00 AM,10:50 AM,Peterson Hall,0.2
BIO  325L 02W Microbiology Lab,M Leonardo,TR,1:00 PM,2:50 PM,Peterson Hall,0.2
BIO  345  01 Techniques in Molecular Biology,P Storer,TR,1:00 PM,2:20 PM,Peterson Hall,1
BIO  345L 01 Techniques in Molecular Biology Lab,P Storer,TR,2:30 PM,5:00 PM,Peterson Hall,0.5
BIO  15  01 Developmental Biology,R Christensen,MWF,2:00 PM,2:50 PM,Peterson Hall,1
BIO  15L 01 Developmental Biology lab,R Christensen,R,8:00 AM,10:50 AM,Peterson Hall,0.2
BIO  455  01 Molecular Neurobiology,P Storer,MWF,1:00 PM,1:50 PM,Peterson Hall,1
BIO  455L 01 Molecular Neurobiology Lab,P Storer,T,8:00 AM,10:50 AM,Peterson Hall,0.2
Business Administration,,,,,,
BUS  125  01 Computers in Business,J Hall,TR,9:30 AM,10:50 AM,Stuart Hall,1
BUS  125  02 Computers in Business,J Hall,TR,12:30 PM,1:50 PM,Stuart Hall,1
BUS  190  01W Statistical Analysis,M Knudson,MWF,12:00 PM,12:50 PM,Stuart Hall,1
BUS  190  02W Statistical Analysis,M Knudson,MWF,1:00 PM,1:50 PM,Stuart Hall,1
BUS  190  03W Statistical Analysis,M Knudson,MWF,2:00 PM,2:50 PM,Stuart Hall,1
BUS  250  01 Principles of Management,V Nguyen,MWF,1:00 PM,1:50 PM,Stuart Hall,1
BUS  250  02 Principles of Management,V Nguyen,MWF,2:00 PM,2:50 PM,Stuart Hall,1
BUS  315  01 Business Law I,J Christensen,TR,12:30 PM,1:50 PM,Stuart Hall,1
BUS  315  02 Business Law I,J Christensen,TR,2:00 PM,3:20 PM,Stuart Hall,1
BUS  330  01W Principles of Marketing,P Carstens,TR,8:00 AM,9:20 AM,Stuart Hall,1
BUS  350  01 Principles of Finance,J Chen,MWF,1:00 PM,1:50 PM,Stuart Hall,1
BUS  387  01 Adv Top:Human Res Mgt,V Nguyen,MWF,9:00 AM,9:50 AM,Stuart Hall,1
BUS  00  01 Legal Issues in Sports,J Christensen,TR,9:30 AM,10:50 AM,Stuart Hall,1
BUS  454  01 Research in Business,P Carstens,M,6:00 PM,9:00 PM,Stuart Hall,1
